,0,1,2,3,4,5,6,7,8,9,10,11,12
24,,28,8,"5,07","2,36","0,1",60 000,30 000,"0,026",,16100-2Z,,–
25,,28,8,"5,07","2,36","0,1",60 000,38 000,"0,024",,16100,,–
26,,30,9,"5,4","2,36","0,1",56 000,36 000,"0,031",▶,6200,,–
27,,30,9,"5,4","2,36","0,1",–,17 000,"0,032",▶,6200-2RSH,,6200-RSH
28,,30,9,"5,4","2,36","0,1",56 000,28 000,"0,032",▶,6200-2RSL,,6200-RSL
29,,30,9,"5,4","2,36","0,1",56 000,28 000,"0,034",▶,6200-2Z,,6200-Z
30,,30,14,"5,07","2,36","0,1",–,17 000,"0,04",,62200-2RS1,,–
31,,35,11,"8,52","3,4","0,143",50 000,32 000,"0,053",▶,6300,,–
32,,35,11,"8,52","3,4","0,143",–,15 000,"0,054",▶,6300-2RSH,,6300-RSH
33,,35,11,"8,52","3,4","0,143",50 000,26 000,"0,053",,6300-2RSL,,6300-RSL
34,,35,11,"8,52","3,4","0,143",50 000,26 000,"0,055",▶,6300-2Z,,6300-Z
35,,35,17,"8,06","3,4","0,143",–,15 000,"0,06",,62300-2RS1,,–
